Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c8a,3.968,20,20
c20n,15.68,3,11
c39n,31.631,2,7
c12p,7.841,12,13
c17l,14.058,14,17
c7n,5.165,19,20
c15helix,4.293,7,9
c4,2.788,20,20
