Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c8a,13.016,13,20
c20n,25.165,5,10
c7n,7.089,19,20
c4,3.086,20,20
c39n,53.961,7,9
c17l,20.24,4,12
c15helix,26.427,8,20
c12p,29.5,4,4
