Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c8a,13.064,12,16
c20n,28.94,4,5
c7n,7.138,10,16
c4,3.086,19,19
c39n,59.019,1,1
c17l,22.227,2,5
c15helix,28.955,4,11
c12p,29.5,6,6
