Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c8a,13.016,15,19
c20n,24.568,3,4
c7n,7.089,16,19
c4,3.086,19,19
c39n,56.16,3,5
c17l,21.524,7,15
c15helix,26.653,7,12
c12p,29.5,5,5
