Molecule,ConfVAE_OPLS4 ,Diamond Energy_OPLS4
c4,2.788,3.272
c7n,5.165,4.672
c8a,3.798,3.968
c12p,7.841,2.564
c15helix,2.114,2.017
c17l,10.946,10.464
e12,33.229,33.938
e27,0.108,-10.919
c20n,16.526,
c39n,37.589,
e38,5.704,
e39,1139.209,
e40,103.521,
