Molecule,ConfVAE_MM3,Diamond Energy MM3
c4,3,3
c7n,63,67
c8a,13,23
c12p,1,9
c15helix,113,385
c17l,1681,2873
e12,7,9
e27,6,41
,,
,,
,,
,,
,,
