Molecule,Lowest MM3 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c12p,29.5,21,21
e40,145.168,5,8
c17l,20.18,9,15
e27,3.764,11,17
e39,32.816,1,1
e38,25.267,10,21
c4,3.086,25,25
c39n,45.221,4,8
e12,40.353,15,17
c7n,7.089,18,25
c20n,25.199,9,17
c8a,12.999,14,19
c15helix,25.53,8,17
