Molecule,Lowest MM3 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c12p,29.5,13,16
e40,145.921,3,5
c17l,20.222,8,18
e27,2.215,5,9
e39,43.3,1,1
e38,26.971,17,23
c4,3.086,25,25
c39n,47.149,2,7
e12,40.353,7,11
c7n,7.089,21,24
c20n,24.337,9,14
c8a,13.016,10,20
c15helix,25.14,3,5
