Molecule,Lowest MMFF94 Energy
c39n,-8.57019278
e39,35.48085625
c15helix,20.28652445
e40,173.5052805
c4,-5.075973341
c8a,8.365938624
c17l,-4.386136953
c20n,-5.017728623
c7n,-4.8545649
c12p,47.28007863
e12,71.55533084
e38,28.25137766
e27,-3.755940651
