Molecule,Lowest MMFF94 Energy
c39n,-6.355423199
e39,38.61335555
c15helix,20.12550964
e40,174.6983748
c4,-5.075973341
c8a,8.365938628
c17l,-4.421933505
c20n,-3.959604992
c7n,-4.8545649
c12p,47.28007865
e12,71.55533072
e38,26.04516061
e27,-3.377819157
