Molecule,Lowest MM3 Energy
c12p,29.5
e40,147.281
c17l,22.459
e27,3.512
e39,44.014
e38,25.267
c4,3.086
c39n,49.683
e12,43.37
c7n,7.862
c20n,27.867
c8a,13.061
c15helix,26.17
