Molecule,Lowest MM3 Energy
c12p,29.5
e40,145.814
c17l,19.678
e27,3.512
e39,46.83
e38,25.589
c4,3.895
c39n,52.357
e12,42.805
c7n,7.912
c20n,24.306
c8a,13.818
c15helix,29.931
