Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c4,2.788,25,25
c17l,12.864,10,21
c15helix,2.868,7,17
e39,5.049,3,4
e27,0.055,5,5
c20n,14.924,13,17
c7n,5.165,25,25
e38,0.938,11,16
c8a,3.798,19,24
c39n,25.217,5,8
e40,84.811,4,5
e12,31.627,18,18
c12p,7.841,2,2
