Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c4,2.788,25,25
c17l,14.028,14,21
c15helix,2.314,2,5
e39,5.598,2,2
c20n,15.438,7,12
c7n,5.192,19,23
e38,0.938,13,22
c8a,3.862,12,18
c39n,23.842,5,5
e40,85.099,3,6
e12,33.229,5,9
c12p,7.841,14,18
e27,1.92,4,4
