Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c4,3.272,25,25
c17l,12.7,9,13
c15helix,7.381,7,14
e39,13.493,3,4
c20n,15.996,9,17
e27,0.75,4,4
c12p,7.841,20,20
c7n,5.647,21,25
e38,1.811,9,21
c8a,4.481,13,25
c39n,24.508,4,8
e40,86.872,5,7
e12,31.627,5,9
