Molecule,Lowest OPLS4 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c4,2.788,25,25
c17l,12.893,11,20
c15helix,3.24,3,7
e39,3.95,1,1
c20n,15.09,6,14
c7n,5.165,24,25
e38,3.284,22,25
c8a,3.862,14,21
c39n,22.701,5,11
e40,81.534,1,1
e12,31.627,8,13
c12p,2.564,3,3
e27,0.134,4,5
