Molecule,Lowest MMFF94 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c4,-5.075973341,20,20
e40,,0,0
c7n,-4.8545649,19,20
e27,,0,0
c17l,-4.319298179,5,11
c20n,-3.119187073,4,7
c39n,2.821284866,1,6
c12p,47.28007864,3,3
e39,,0,0
c15helix,22.39035061,5,8
e38,,0,0
e12,,0,0
c8a,8.391050853,7,15
