Molecule,Lowest MMFF94 Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c17l,-3.346760633,5,12
c8a,8.290714881,8,20
c20n,-2.743884972,1,4
c7n,-4.8545649,17,20
e40,,0,0
e38,,0,0
e12,,0,0
c12p,47.28007864,5,5
c39n,8.778622886,2,6
e27,,0,0
c4,-5.075973341,20,20
c15helix,22.74429638,5,9
e39,,0,0
