Molecule,Lowest OPLS4 Energy
c4,2.788
c17l,14.028
c15helix,2.314
e39,5.598
c20n,15.438
c7n,5.192
e38,0.938
c8a,3.862
c39n,23.842
e40,85.099
e12,33.229
c12p,7.841
e27,1.92
