Molecule,Lowest OPLS4 Energy
c4,2.788
c17l,12.893
c15helix,3.24
e39,3.95
c20n,15.09
c7n,5.165
e38,3.284
c8a,3.862
c39n,22.701
e40,81.534
e12,31.627
c12p,2.564
e27,0.134
