Molecule,Lowest OPLS4 Energy
c4,2.788
c17l,12.864
c15helix,2.868
e39,5.049
e27,0.055
c20n,14.924
c7n,5.165
e38,0.938
c8a,3.798
c39n,25.217
e40,84.811
e12,31.627
c12p,7.841
