Molecule,GeoMol_Diamond_MM3,GeoMol_qm9_MM3,GeoMol_drugs_MM3,Diamond Energy_MM3
c4,3.086,3.086,3.086,3.086
c7n,7.138,7.089,7.089,6.251
c8a,13.064,13.016,13.016,13.016
c12p,29.5,29.5,29.5,32.78
c15helix,28.955,26.653,26.427,23.543
c17l,22.227,21.524,20.24,16.79
