Molecule,ConfVAE_MM3,Diamond Energy MM3
c4,3.086,3.086
c7n,7.089,6.251
c8a,12.999,13.016
c12p,29.5,32.78
c15helix,23.605,23.543
c17l,19.332,16.79
e12,48.291,
e27,2.36,
c20n,28.229,
c39n,61.073,
e38,29.649,
e39,9674.846,
e40,144.564,
